قهوه,coffee,Food & Drinks,Drinks,25
نوشابه,coke,Food & Drinks,Drinks,26
شکلات داغ,hot chocolate,Food & Drinks,Drinks,27
نوشیدنی,drink,Food & Drinks,Drinks,28
شیر,milk,Food & Drinks,Drinks,29
آب‌‌پرتقال,orange juice,Food & Drinks,Drinks,31
نوشابه,soda,Food & Drinks,Drinks,32
چای,tea,Food & Drinks,Drinks,33
آب,water,Food & Drinks,Drinks,34
آب نارگیل,coconut water,Food & Drinks,Drinks,1854
نان,bread,Food & Drinks,Food,121
صبحانه,breakfast,Food & Drinks,Food,122
میوه‌ها,fruits,Food & Drinks,Food,123
پنیر,cheese,Food & Drinks,Food,124
تخم‌مرغ,egg,Food & Drinks,Food,125
ماهی,fish,Food & Drinks,Food,126
سوپ,soup,Food & Drinks,Food,128
گوشت,meat,Food & Drinks,Food,132
شکر,sugar,Food & Drinks,Food,134
سالاد,salad,Food & Drinks,Food,135
لبنیات,dairy,Food & Drinks,Food,2879
ناهار,lunch,Food & Drinks,Food,2880
شام,dinner,Food & Drinks,Food,2881
بیرون‌بر,takeout,Food & Drinks,Food,2892
آلو,plum,Food & Drinks,Fruits,678
کیوی,kiwi,Food & Drinks,Fruits,679
طالبی,honeydew melon,Food & Drinks,Fruits,681
هلو,peach,Food & Drinks,Fruits,682
گیلاس,cherry,Food & Drinks,Fruits,683
سیب,apple,Food & Drinks,Fruits,685
انگور,grape,Food & Drinks,Fruits,690
هندوانه,watermelon,Food & Drinks,Fruits,691
گلابی,pear,Food & Drinks,Fruits,692
موز,banana,Food & Drinks,Fruits,694
گرمک,cantaloupe,Food & Drinks,Fruits,3303
قارچ,mushroom,Food & Drinks,Vegetables,129
کلم بروکلی,broccoli,Food & Drinks,Vegetables,697
کلم‌پیچ,cabbage,Food & Drinks,Vegetables,698
گل‌کلم,cauliflower,Food & Drinks,Vegetables,700
ذرّت,corn,Food & Drinks,Vegetables,701
خیار,cucumber,Food & Drinks,Vegetables,702
کاهو,lettuce,Food & Drinks,Vegetables,704
جعفری,parsley,Food & Drinks,Vegetables,706
ترب,radish,Food & Drinks,Vegetables,709
مارچوبه,asparagus,Food & Drinks,Vegetables,3186
نخودفرنگی,pea,Food & Drinks,Vegetables,3187
کلم بروکسل,brussels sprout,Food & Drinks,Vegetables,3188
صورت‌حساب,bill,Food & Drinks,Restaurant,730
بطری,bottle,Food & Drinks,Restaurant,731
ادویه,condiments,Food & Drinks,Restaurant,733
دسر,dessert,Food & Drinks,Restaurant,734
منو,menu,Food & Drinks,Restaurant,738
دستمال سفره,napkin,Food & Drinks,Restaurant,739
غذای خیابانی,street food,Food & Drinks,Restaurant,740
رومیزی,tablecloth,Food & Drinks,Restaurant,741
انعام,tip,Food & Drinks,Restaurant,742
خلال دندان,toothpick,Food & Drinks,Restaurant,743
سینی,tray,Food & Drinks,Restaurant,744
بیکن,bacon,Food & Drinks,More_Foods,764
کَره,butter,Food & Drinks,More_Foods,765
ران خوک,ham,Food & Drinks,More_Foods,768
همبرگر,hamburger,Food & Drinks,More_Foods,769
هات‌داگ,hotdog,Food & Drinks,More_Foods,771
سالمون,salmon,Food & Drinks,More_Foods,776
سوسیس,sausage,Food & Drinks,More_Foods,777
ماست,yogurt,Food & Drinks,More_Foods,779
ریحان,basil,Food & Drinks,Spices_and_Sweets,848
کیک,cake,Food & Drinks,Spices_and_Sweets,850
فلفل تند,chili,Food & Drinks,Spices_and_Sweets,851
شکلات,chocolate,Food & Drinks,Spices_and_Sweets,852
دارچین,cinnamon,Food & Drinks,Spices_and_Sweets,853
کوکی,cookie,Food & Drinks,Spices_and_Sweets,854
زنجبیل,ginger,Food & Drinks,Spices_and_Sweets,855
کلوچه,muffin,Food & Drinks,Spices_and_Sweets,856
دونات,donut,Food & Drinks,Spices_and_Sweets,857
آرد,flour,Food & Drinks,Spices_and_Sweets,858
عسل,honey,Food & Drinks,Spices_and_Sweets,859
بستنی,ice cream,Food & Drinks,Spices_and_Sweets,860
آب‌نبات,lollipop,Food & Drinks,Spices_and_Sweets,861
فلفل,pepper,Food & Drinks,Spices_and_Sweets,862
نمک,salt,Food & Drinks,Spices_and_Sweets,863
وانیل,vanilla,Food & Drinks,Spices_and_Sweets,864
مخلوط‌کن,blender,Food & Drinks,Cooking,950
قوطی کنسرو,can,Food & Drinks,Cooking,951
کتاب آشپزی,cookbook,Food & Drinks,Cooking,952
چوب‌پنبه‌کش,corkscrew,Food & Drinks,Cooking,953
رنده,grater,Food & Drinks,Cooking,954
آب‌میوه‌گیری,juicer,Food & Drinks,Cooking,955
ملاقه,ladle,Food & Drinks,Cooking,956
همزن برقی,mixer,Food & Drinks,Cooking,957
ظرف مخلوط‌کن,mixing bowl,Food & Drinks,Cooking,958
فندق‌شکن,nutcracker,Food & Drinks,Cooking,959
فلفل‌ساب,pepper mill,Food & Drinks,Cooking,960
اسفنج,sponge,Food & Drinks,Cooking,961
آبکش,strainer,Food & Drinks,Cooking,962
دماسنج,thermometer,Food & Drinks,Cooking,963
زمان‌سنج,timer,Food & Drinks,Cooking,964
تستر,toaster,Food & Drinks,Cooking,965
همزن دستی,whisk,Food & Drinks,Cooking,966
نان باگت,baguette,Food & Drinks,Pastries,1494
نان همبرگری,bun,Food & Drinks,Pastries,1496
آب‌نبات,candy,Food & Drinks,Pastries,1497
کراکرها,crackers,Food & Drinks,Pastries,1499
کراسان,croissant,Food & Drinks,Pastries,1500
کرهٔ بادام‌زمینی,peanut butter,Food & Drinks,Pastries,1502
پای,pie,Food & Drinks,Pastries,1504
پیتزا,pizza,Food & Drinks,Pastries,1505
پرتزل,pretzel,Food & Drinks,Pastries,1506
نان فنجانی,scone,Food & Drinks,Pastries,1509
باریستا,barista,Food & Drinks,Tea_and_Coffee,1852
زمان دم کشیدن,brew time,Food & Drinks,Tea_and_Coffee,1853
دانهٔ قهوه,coffee bean,Food & Drinks,Tea_and_Coffee,1855
آسیاب قهوه,coffee grinder,Food & Drinks,Tea_and_Coffee,1856
اسپرسو,espresso,Food & Drinks,Tea_and_Coffee,1857
اسپرسوساز,espresso machine,Food & Drinks,Tea_and_Coffee,1858
قهوهٔ فیلترشده,filter coffee,Food & Drinks,Tea_and_Coffee,1859
فرنچ پرس,French press,Food & Drinks,Tea_and_Coffee,1860
لاته,latte,Food & Drinks,Tea_and_Coffee,1863
چای کیسه‌ای,tea bag,Food & Drinks,Tea_and_Coffee,1865
صافی چای زنجیردار,tea egg,Food & Drinks,Tea_and_Coffee,1866
برگ چای,tea leaf,Food & Drinks,Tea_and_Coffee,1867
نعناع‌فلفلی,peppermint,Food & Drinks,Herbs,3149
علف لیمو,lemongrass,Food & Drinks,Herbs,3150
رزماری,rosemary,Food & Drinks,Herbs,3152
مریم‌گلی,sage,Food & Drinks,Herbs,3153
میخک,clove,Food & Drinks,Herbs,3154
رازیانه,fennel,Food & Drinks,Herbs,3155
جینسنگ,ginseng,Food & Drinks,Herbs,3157
نعنای دشتی,spearmint,Food & Drinks,Herbs,3159
مرزنگوش,marjoram,Food & Drinks,Herbs,3160
زعفران,saffron,Food & Drinks,Herbs,3161
تره,chives,Food & Drinks,Herbs,3162
آویشن,thyme,Food & Drinks,Herbs,3163
نعناع,mint,Food & Drinks,Herbs,3164
آووکادو,avocado,Food & Drinks,More_Vegetables,695
تره‌فرنگی,leek,Food & Drinks,More_Vegetables,3185
