kope,coffee,Food & Drinks,Drinks,25
koka,coke,Food & Drinks,Drinks,26
kokoleka wela,hot chocolate,Food & Drinks,Drinks,27
mea inu,drink,Food & Drinks,Drinks,28
waiū,milk,Food & Drinks,Drinks,29
wai ʻalani,orange juice,Food & Drinks,Drinks,31
koka,soda,Food & Drinks,Drinks,32
kī,tea,Food & Drinks,Drinks,33
wai,water,Food & Drinks,Drinks,34
wai niu,coconut water,Food & Drinks,Drinks,1854
palaoa,bread,Food & Drinks,Food,121
ʻaina kakahiaka,breakfast,Food & Drinks,Food,122
hua ʻai,fruits,Food & Drinks,Food,123
waiūpaʻa,cheese,Food & Drinks,Food,124
hua moa,egg,Food & Drinks,Food,125
iʻa,fish,Food & Drinks,Food,126
kupa,soup,Food & Drinks,Food,128
ʻiʻo,meat,Food & Drinks,Food,132
kōpaʻa,sugar,Food & Drinks,Food,134
lau ʻai,salad,Food & Drinks,Food,135
puluma,plum,Food & Drinks,Fruits,678
kiwi,kiwi,Food & Drinks,Fruits,679
meleni,honeydew melon,Food & Drinks,Fruits,681
piki,peach,Food & Drinks,Fruits,682
keli,cherry,Food & Drinks,Fruits,683
ʻāpala,apple,Food & Drinks,Fruits,685
waina,grape,Food & Drinks,Fruits,690
ipu kāniʻo,watermelon,Food & Drinks,Fruits,691
pea,pear,Food & Drinks,Fruits,692
maiʻa,banana,Food & Drinks,Fruits,694
melehune,mushroom,Food & Drinks,Vegetables,129
palakalī,broccoli,Food & Drinks,Vegetables,697
kāpiki,cabbage,Food & Drinks,Vegetables,698
kāpiki pua,cauliflower,Food & Drinks,Vegetables,700
kūlina,corn,Food & Drinks,Vegetables,701
kaʻukama,cucumber,Food & Drinks,Vegetables,702
lekuke,lettuce,Food & Drinks,Vegetables,704
pakalī,parsley,Food & Drinks,Vegetables,706
lakika,radish,Food & Drinks,Vegetables,709
pila,bill,Food & Drinks,Restaurant,730
ʻōmole,bottle,Food & Drinks,Restaurant,731
hōʻonoʻono ʻai,condiments,Food & Drinks,Restaurant,733
mea ʻai momona,dessert,Food & Drinks,Restaurant,734
papa kuhikuhi mea ʻai,menu,Food & Drinks,Restaurant,738
kāwele pepa,napkin,Food & Drinks,Restaurant,739
ʻai alanui,street food,Food & Drinks,Restaurant,740
uhi pākaukau,tablecloth,Food & Drinks,Restaurant,741
uku lawelawe,tip,Food & Drinks,Restaurant,742
lāʻau ʻōhikihiki niho,toothpick,Food & Drinks,Restaurant,743
pā halihali,tray,Food & Drinks,Restaurant,744
ʻiʻo puaʻa uahi,bacon,Food & Drinks,More_Foods,764
waiūpaka,butter,Food & Drinks,More_Foods,765
puaʻa hame,ham,Food & Drinks,More_Foods,768
ʻiʻo pipi i wili ʻia,hamburger,Food & Drinks,More_Foods,769
naʻaukake ʻAmelika,hotdog,Food & Drinks,More_Foods,771
kāmano,salmon,Food & Drinks,More_Foods,776
naʻaukake,sausage,Food & Drinks,More_Foods,777
waiūtepe,yogurt,Food & Drinks,More_Foods,779
kīpaoa,basil,Food & Drinks,Spices_and_Sweets,848
mea ʻono,cake,Food & Drinks,Spices_and_Sweets,850
kili,chili,Food & Drinks,Spices_and_Sweets,851
kokoleka,chocolate,Food & Drinks,Spices_and_Sweets,852
kinamona,cinnamon,Food & Drinks,Spices_and_Sweets,853
kuki,cookie,Food & Drinks,Spices_and_Sweets,854
ʻawapuhi,ginger,Food & Drinks,Spices_and_Sweets,855
māpina,muffin,Food & Drinks,Spices_and_Sweets,856
koneko,donut,Food & Drinks,Spices_and_Sweets,857
palaoa maka,flour,Food & Drinks,Spices_and_Sweets,858
meli,honey,Food & Drinks,Spices_and_Sweets,859
haukalima,ice cream,Food & Drinks,Spices_and_Sweets,860
kanakē ʻau,lollipop,Food & Drinks,Spices_and_Sweets,861
pepa,pepper,Food & Drinks,Spices_and_Sweets,862
paʻakai,salt,Food & Drinks,Spices_and_Sweets,863
wanila,vanilla,Food & Drinks,Spices_and_Sweets,864
mīkini kāwili,blender,Food & Drinks,Cooking,950
kini,can,Food & Drinks,Cooking,951
puke kuke,cookbook,Food & Drinks,Cooking,952
wili wehe ʻumoki,corkscrew,Food & Drinks,Cooking,953
waʻu,grater,Food & Drinks,Cooking,954
mea hana wai hua ʻai,juicer,Food & Drinks,Cooking,955
kīʻoʻe,ladle,Food & Drinks,Cooking,956
mīkini wili ʻai,mixer,Food & Drinks,Cooking,957
ʻumeke kāwili,mixing bowl,Food & Drinks,Cooking,958
ʻūmiʻi kukui haole,nutcracker,Food & Drinks,Cooking,959
wili pepa,pepper mill,Food & Drinks,Cooking,960
ʻūpī,sponge,Food & Drinks,Cooking,961
kānana,strainer,Food & Drinks,Cooking,962
kelemomeka,thermometer,Food & Drinks,Cooking,963
uaki,timer,Food & Drinks,Cooking,964
mea hoʻopāpaʻa palaoa,toaster,Food & Drinks,Cooking,965
lawe hikiwawe,whisk,Food & Drinks,Cooking,966
palaoa palani,baguette,Food & Drinks,Pastries,1494
palaoa liʻiliʻi,bun,Food & Drinks,Pastries,1496
kanakē,candy,Food & Drinks,Pastries,1497
pelena,crackers,Food & Drinks,Pastries,1499
pīnekipaka,peanut butter,Food & Drinks,Pastries,1502
pai,pie,Food & Drinks,Pastries,1504
pai pika,pizza,Food & Drinks,Pastries,1505
pelena peʻa,pretzel,Food & Drinks,Pastries,1506
wā hoʻomākaukau kope,brew time,Food & Drinks,Tea_and_Coffee,1853
kope,coffee bean,Food & Drinks,Tea_and_Coffee,1855
wili kope,coffee grinder,Food & Drinks,Tea_and_Coffee,1856
kopeika,espresso,Food & Drinks,Tea_and_Coffee,1857
mīkini kopeika,espresso machine,Food & Drinks,Tea_and_Coffee,1858
kānana kope,filter coffee,Food & Drinks,Tea_and_Coffee,1859
kope keʻokeʻo,latte,Food & Drinks,Tea_and_Coffee,1863
ʻeke kī,tea bag,Food & Drinks,Tea_and_Coffee,1865
lau kī,tea leaf,Food & Drinks,Tea_and_Coffee,1867
pea,avocado,Food & Drinks,More_Vegetables,695
ʻoliwa,olive,Food & Drinks,Exotic_Fruits,686
ʻae,yes,Study with Amber,Essentials,1
ʻaʻole,no,Study with Amber,Essentials,2
hiki,ok,Study with Amber,Essentials,3
Aloha,hi,Study with Amber,Essentials,4
Mahalo,thank you,Study with Amber,Essentials,5
A hui hou,bye,Study with Amber,Essentials,6
ʻoluʻolu,please,Study with Amber,Essentials,7
Au,I,Study with Amber,Essentials,9
a me,and,Study with Amber,Essentials,16
a i ʻole,or,Study with Amber,Essentials,17
kēia,this,Study with Amber,Essentials,18
kope,coffee,Study with Amber,Drinks,25
koka,coke,Study with Amber,Drinks,26
kokoleka wela,hot chocolate,Study with Amber,Drinks,27
mea inu,drink,Study with Amber,Drinks,28
waiū,milk,Study with Amber,Drinks,29
wai ʻalani,orange juice,Study with Amber,Drinks,31
koka,soda,Study with Amber,Drinks,32
kī,tea,Study with Amber,Drinks,33
wai,water,Study with Amber,Drinks,34
wai niu,coconut water,Study with Amber,Drinks,1854
ʻOle,zero,Study with Amber,Numbers,41
ʻekahi,one,Study with Amber,Numbers,42
ʻelua,two,Study with Amber,Numbers,43
ʻekolu,three,Study with Amber,Numbers,44
ʻehā,four,Study with Amber,Numbers,45
ʻelima,five,Study with Amber,Numbers,46
ʻeono,six,Study with Amber,Numbers,47
ʻehiku,seven,Study with Amber,Numbers,48
ʻewalu,eight,Study with Amber,Numbers,49
ʻeiwa,nine,Study with Amber,Numbers,50
ʻumi,ten,Study with Amber,Numbers,51
ʻumi kūmākahi,eleven,Study with Amber,Numbers,52
ʻumi kūmālua,twelve,Study with Amber,Numbers,53
