कॉफ़ी,coffee,Food & Drinks,Drinks,25
कोक,coke,Food & Drinks,Drinks,26
गर्म चॉकलेट,hot chocolate,Food & Drinks,Drinks,27
पेय,drink,Food & Drinks,Drinks,28
दूध,milk,Food & Drinks,Drinks,29
संतरे का रस,orange juice,Food & Drinks,Drinks,31
सोडा,soda,Food & Drinks,Drinks,32
चाय,tea,Food & Drinks,Drinks,33
पानी,water,Food & Drinks,Drinks,34
नारियल पानी,coconut water,Food & Drinks,Drinks,1854
ब्रेड,bread,Food & Drinks,Food,121
सुबह का नाश्ता,breakfast,Food & Drinks,Food,122
फल,fruits,Food & Drinks,Food,123
पनीर,cheese,Food & Drinks,Food,124
अंडा,egg,Food & Drinks,Food,125
मछली,fish,Food & Drinks,Food,126
सूप,soup,Food & Drinks,Food,128
मांस,meat,Food & Drinks,Food,132
चीनी,sugar,Food & Drinks,Food,134
सलाद,salad,Food & Drinks,Food,135
दुग्ध उत्पाद,dairy,Food & Drinks,Food,2879
दोपहर का भोजन,lunch,Food & Drinks,Food,2880
रात का भोजन,dinner,Food & Drinks,Food,2881
ले जाने के लिए तैयार,takeout,Food & Drinks,Food,2892
बेर,plum,Food & Drinks,Fruits,678
कीवी,kiwi,Food & Drinks,Fruits,679
मीठा तरबूज,honeydew melon,Food & Drinks,Fruits,681
आड़ू,peach,Food & Drinks,Fruits,682
चेरी,cherry,Food & Drinks,Fruits,683
सेब,apple,Food & Drinks,Fruits,685
अंगूर,grape,Food & Drinks,Fruits,690
तरबूज,watermelon,Food & Drinks,Fruits,691
नाशपाती,pear,Food & Drinks,Fruits,692
केला,banana,Food & Drinks,Fruits,694
खरबूजा,cantaloupe,Food & Drinks,Fruits,3303
मशरूम,mushroom,Food & Drinks,Vegetables,129
ब्रोकोली,broccoli,Food & Drinks,Vegetables,697
पत्तागोभी,cabbage,Food & Drinks,Vegetables,698
फूलगोभी,cauliflower,Food & Drinks,Vegetables,700
मक्का,corn,Food & Drinks,Vegetables,701
खीरा,cucumber,Food & Drinks,Vegetables,702
सलाद पत्ता,lettuce,Food & Drinks,Vegetables,704
अजमोद,parsley,Food & Drinks,Vegetables,706
मूली,radish,Food & Drinks,Vegetables,709
शतावरी,asparagus,Food & Drinks,Vegetables,3186
मटर,pea,Food & Drinks,Vegetables,3187
ब्रसल स्प्राउट,brussels sprout,Food & Drinks,Vegetables,3188
बिल,bill,Food & Drinks,Restaurant,730
बोतल,bottle,Food & Drinks,Restaurant,731
मसालों,condiments,Food & Drinks,Restaurant,733
खाने के बाद की मिठाई,dessert,Food & Drinks,Restaurant,734
मेन्यू - कार्ड,menu,Food & Drinks,Restaurant,738
नैपकिन,napkin,Food & Drinks,Restaurant,739
सड़क का खाना,street food,Food & Drinks,Restaurant,740
मेज़पोश,tablecloth,Food & Drinks,Restaurant,741
टिप,tip,Food & Drinks,Restaurant,742
टूथपिक,toothpick,Food & Drinks,Restaurant,743
ट्रे,tray,Food & Drinks,Restaurant,744
सूअर का मांस,bacon,Food & Drinks,More_Foods,764
मक्खन,butter,Food & Drinks,More_Foods,765
जांघ,ham,Food & Drinks,More_Foods,768
हैमबर्गर,hamburger,Food & Drinks,More_Foods,769
हॉट - डॉग,hotdog,Food & Drinks,More_Foods,771
सैल्मन,salmon,Food & Drinks,More_Foods,776
सॉसेज,sausage,Food & Drinks,More_Foods,777
दही,yogurt,Food & Drinks,More_Foods,779
तुलसी,basil,Food & Drinks,Spices_and_Sweets,848
केक,cake,Food & Drinks,Spices_and_Sweets,850
मिर्च,chili,Food & Drinks,Spices_and_Sweets,851
चॉकलेट,chocolate,Food & Drinks,Spices_and_Sweets,852
दालचीनी,cinnamon,Food & Drinks,Spices_and_Sweets,853
कुकी,cookie,Food & Drinks,Spices_and_Sweets,854
अदरक,ginger,Food & Drinks,Spices_and_Sweets,855
मफिन,muffin,Food & Drinks,Spices_and_Sweets,856
डोनट,donut,Food & Drinks,Spices_and_Sweets,857
आटा,flour,Food & Drinks,Spices_and_Sweets,858
शहद,honey,Food & Drinks,Spices_and_Sweets,859
आइसक्रीम,ice cream,Food & Drinks,Spices_and_Sweets,860
लॉली पॉप,lollipop,Food & Drinks,Spices_and_Sweets,861
मिर्च,pepper,Food & Drinks,Spices_and_Sweets,862
नमक,salt,Food & Drinks,Spices_and_Sweets,863
वनीला,vanilla,Food & Drinks,Spices_and_Sweets,864
ब्लेंडर,blender,Food & Drinks,Cooking,950
डिब्बा,can,Food & Drinks,Cooking,951
रसोई की किताब,cookbook,Food & Drinks,Cooking,952
कॉर्कस्क्रेव,corkscrew,Food & Drinks,Cooking,953
कद्दूकस,grater,Food & Drinks,Cooking,954
जूसर,juicer,Food & Drinks,Cooking,955
करछी,ladle,Food & Drinks,Cooking,956
मिक्सर,mixer,Food & Drinks,Cooking,957
कटोरा जिसमें मिश्रण करते हैं,mixing bowl,Food & Drinks,Cooking,958
सरौता,nutcracker,Food & Drinks,Cooking,959
पेपर मिल,pepper mill,Food & Drinks,Cooking,960
स्पंज,sponge,Food & Drinks,Cooking,961
छलनी,strainer,Food & Drinks,Cooking,962
तापमान मापक,thermometer,Food & Drinks,Cooking,963
टाइमर,timer,Food & Drinks,Cooking,964
टोस्टर,toaster,Food & Drinks,Cooking,965
फेंटना,whisk,Food & Drinks,Cooking,966
बैग्यूएट,baguette,Food & Drinks,Pastries,1494
रोटी,bun,Food & Drinks,Pastries,1496
कैंडी,candy,Food & Drinks,Pastries,1497
क्रैकर्स,crackers,Food & Drinks,Pastries,1499
क्रोइसैन,croissant,Food & Drinks,Pastries,1500
मूंगफली का मक्खन,peanut butter,Food & Drinks,Pastries,1502
पाई,pie,Food & Drinks,Pastries,1504
पिज़्ज़ा,pizza,Food & Drinks,Pastries,1505
