kawhe,coffee,Food & Drinks,Drinks,25
inu mirumiru,coke,Food & Drinks,Drinks,26
inu tiakarete,hot chocolate,Food & Drinks,Drinks,27
inu,drink,Food & Drinks,Drinks,28
miraka,milk,Food & Drinks,Drinks,29
wai ārani,orange juice,Food & Drinks,Drinks,31
hōura,soda,Food & Drinks,Drinks,32
tī,tea,Food & Drinks,Drinks,33
wai,water,Food & Drinks,Drinks,34
wai kokonati,coconut water,Food & Drinks,Drinks,1854
paraoa,bread,Food & Drinks,Food,121
parakuihi,breakfast,Food & Drinks,Food,122
huarākau,fruits,Food & Drinks,Food,123
tīhi,cheese,Food & Drinks,Food,124
hēki,egg,Food & Drinks,Food,125
ika,fish,Food & Drinks,Food,126
hupa,soup,Food & Drinks,Food,128
mīti,meat,Food & Drinks,Food,132
huka,sugar,Food & Drinks,Food,134
huamata,salad,Food & Drinks,Food,135
toa,dairy,Food & Drinks,Food,2879
tina,lunch,Food & Drinks,Food,2880
kai a te pō,dinner,Food & Drinks,Food,2881
kai heri atu,takeout,Food & Drinks,Food,2892
paramu,plum,Food & Drinks,Fruits,678
kiwi,kiwi,Food & Drinks,Fruits,679
mēreni,honeydew melon,Food & Drinks,Fruits,681
pītiti,peach,Food & Drinks,Fruits,682
tiere,cherry,Food & Drinks,Fruits,683
āporo,apple,Food & Drinks,Fruits,685
kerepi,grape,Food & Drinks,Fruits,690
mereni wai,watermelon,Food & Drinks,Fruits,691
pea,pear,Food & Drinks,Fruits,692
panana,banana,Food & Drinks,Fruits,694
kākāriki,cantaloupe,Food & Drinks,Fruits,3303
harore,mushroom,Food & Drinks,Vegetables,129
porokori,broccoli,Food & Drinks,Vegetables,697
kāpeti,cabbage,Food & Drinks,Vegetables,698
kareparāoa,cauliflower,Food & Drinks,Vegetables,700
kānga,corn,Food & Drinks,Vegetables,701
kūkama,cucumber,Food & Drinks,Vegetables,702
rētihi,lettuce,Food & Drinks,Vegetables,704
pāhiri,parsley,Food & Drinks,Vegetables,706
rarihi,radish,Food & Drinks,Vegetables,709
apareka,asparagus,Food & Drinks,Vegetables,3186
pī,pea,Food & Drinks,Vegetables,3187
aonanī,brussels sprout,Food & Drinks,Vegetables,3188
pire,bill,Food & Drinks,Restaurant,730
pātara,bottle,Food & Drinks,Restaurant,731
kīnaki,condiments,Food & Drinks,Restaurant,733
pūruni,dessert,Food & Drinks,Restaurant,734
rārangi kai,menu,Food & Drinks,Restaurant,738
napikena,napkin,Food & Drinks,Restaurant,739
kai tīriti,street food,Food & Drinks,Restaurant,740
uhitēpu,tablecloth,Food & Drinks,Restaurant,741
utu,tip,Food & Drinks,Restaurant,742
kapeniho,toothpick,Food & Drinks,Restaurant,743
heri,tray,Food & Drinks,Restaurant,744
pēkana,bacon,Food & Drinks,More_Foods,764
pata,butter,Food & Drinks,More_Foods,765
poaka,ham,Food & Drinks,More_Foods,768
hamupeka,hamburger,Food & Drinks,More_Foods,769
tōtiti wera,hotdog,Food & Drinks,More_Foods,771
hāmana,salmon,Food & Drinks,More_Foods,776
tōtiti,sausage,Food & Drinks,More_Foods,777
iōkete,yogurt,Food & Drinks,More_Foods,779
otaota,basil,Food & Drinks,Spices_and_Sweets,848
keke,cake,Food & Drinks,Spices_and_Sweets,850
hirikākā,chili,Food & Drinks,Spices_and_Sweets,851
tiakarete,chocolate,Food & Drinks,Spices_and_Sweets,852
hinamona,cinnamon,Food & Drinks,Spices_and_Sweets,853
pihikete,cookie,Food & Drinks,Spices_and_Sweets,854
tinitia,ginger,Food & Drinks,Spices_and_Sweets,855
mawhene,muffin,Food & Drinks,Spices_and_Sweets,856
tounati,donut,Food & Drinks,Spices_and_Sweets,857
puehu parāoa,flour,Food & Drinks,Spices_and_Sweets,858
mīere,honey,Food & Drinks,Spices_and_Sweets,859
ahikirīmi,ice cream,Food & Drinks,Spices_and_Sweets,860
rarepapa,lollipop,Food & Drinks,Spices_and_Sweets,861
pepa,pepper,Food & Drinks,Spices_and_Sweets,862
tote,salt,Food & Drinks,Spices_and_Sweets,863
wanira,vanilla,Food & Drinks,Spices_and_Sweets,864
mihini whakaranu,blender,Food & Drinks,Cooking,950
kēne,can,Food & Drinks,Cooking,951
māhere tunu kai,cookbook,Food & Drinks,Cooking,952
puru kōwiri,corkscrew,Food & Drinks,Cooking,953
waru,grater,Food & Drinks,Cooking,954
taputapu wairanu,juicer,Food & Drinks,Cooking,955
pune hupa,ladle,Food & Drinks,Cooking,956
mihini whakaranu,mixer,Food & Drinks,Cooking,957
oko,mixing bowl,Food & Drinks,Cooking,958
taputapu pakaru nati,nutcracker,Food & Drinks,Cooking,959
taputapu pepa,pepper mill,Food & Drinks,Cooking,960
hautai,sponge,Food & Drinks,Cooking,961
pune puare,strainer,Food & Drinks,Cooking,962
taputapu pāmahana,thermometer,Food & Drinks,Cooking,963
