de koffie,coffee,Food & Drinks,Drinks,25
de cola,coke,Food & Drinks,Drinks,26
de warme chocolademelk,hot chocolate,Food & Drinks,Drinks,27
het drankje,drink,Food & Drinks,Drinks,28
de melk,milk,Food & Drinks,Drinks,29
de sinaasappelsap,orange juice,Food & Drinks,Drinks,31
de frisdrank,soda,Food & Drinks,Drinks,32
de thee,tea,Food & Drinks,Drinks,33
het water,water,Food & Drinks,Drinks,34
het kokoswater,coconut water,Food & Drinks,Drinks,1854
het brood,bread,Food & Drinks,Food,121
het ontbijt,breakfast,Food & Drinks,Food,122
het fruit,fruits,Food & Drinks,Food,123
de kaas,cheese,Food & Drinks,Food,124
het ei,egg,Food & Drinks,Food,125
de vis,fish,Food & Drinks,Food,126
de soep,soup,Food & Drinks,Food,128
het vlees,meat,Food & Drinks,Food,132
de suiker,sugar,Food & Drinks,Food,134
de salade,salad,Food & Drinks,Food,135
de zuivel,dairy,Food & Drinks,Food,2879
het middageten,lunch,Food & Drinks,Food,2880
het avondeten,dinner,Food & Drinks,Food,2881
het afhaaleten,takeout,Food & Drinks,Food,2892
de pruim,plum,Food & Drinks,Fruits,678
de kiwi,kiwi,Food & Drinks,Fruits,679
de suikermeloen,honeydew melon,Food & Drinks,Fruits,681
de perzik,peach,Food & Drinks,Fruits,682
de kers,cherry,Food & Drinks,Fruits,683
de appel,apple,Food & Drinks,Fruits,685
de druif,grape,Food & Drinks,Fruits,690
de watermeloen,watermelon,Food & Drinks,Fruits,691
de peer,pear,Food & Drinks,Fruits,692
de banaan,banana,Food & Drinks,Fruits,694
de cantaloupe,cantaloupe,Food & Drinks,Fruits,3303
de paddenstoel,mushroom,Food & Drinks,Vegetables,129
de broccoli,broccoli,Food & Drinks,Vegetables,697
de kool,cabbage,Food & Drinks,Vegetables,698
de bloemkool,cauliflower,Food & Drinks,Vegetables,700
de mais,corn,Food & Drinks,Vegetables,701
de komkommer,cucumber,Food & Drinks,Vegetables,702
de sla,lettuce,Food & Drinks,Vegetables,704
de peterselie,parsley,Food & Drinks,Vegetables,706
de radijs,radish,Food & Drinks,Vegetables,709
de asperge,asparagus,Food & Drinks,Vegetables,3186
de erwt,pea,Food & Drinks,Vegetables,3187
het spruitje,brussels sprout,Food & Drinks,Vegetables,3188
de rekening,bill,Food & Drinks,Restaurant,730
de fles,bottle,Food & Drinks,Restaurant,731
de smaakmakers,condiments,Food & Drinks,Restaurant,733
het nagerecht,dessert,Food & Drinks,Restaurant,734
de menukaart,menu,Food & Drinks,Restaurant,738
de servet,napkin,Food & Drinks,Restaurant,739
het streetfood,street food,Food & Drinks,Restaurant,740
het tafelkleed,tablecloth,Food & Drinks,Restaurant,741
de fooi,tip,Food & Drinks,Restaurant,742
de tandenstoker,toothpick,Food & Drinks,Restaurant,743
het dienblad,tray,Food & Drinks,Restaurant,744
de bacon,bacon,Food & Drinks,More_Foods,764
de boter,butter,Food & Drinks,More_Foods,765
de ham,ham,Food & Drinks,More_Foods,768
de hamburger,hamburger,Food & Drinks,More_Foods,769
de hotdog,hotdog,Food & Drinks,More_Foods,771
de zalm,salmon,Food & Drinks,More_Foods,776
de worst,sausage,Food & Drinks,More_Foods,777
de yoghurt,yogurt,Food & Drinks,More_Foods,779
de basilicum,basil,Food & Drinks,Spices_and_Sweets,848
de taart,cake,Food & Drinks,Spices_and_Sweets,850
de chilipeper,chili,Food & Drinks,Spices_and_Sweets,851
de chocolade,chocolate,Food & Drinks,Spices_and_Sweets,852
de kaneel,cinnamon,Food & Drinks,Spices_and_Sweets,853
het koekje,cookie,Food & Drinks,Spices_and_Sweets,854
de gember,ginger,Food & Drinks,Spices_and_Sweets,855
de muffin,muffin,Food & Drinks,Spices_and_Sweets,856
de donut,donut,Food & Drinks,Spices_and_Sweets,857
de bloem,flour,Food & Drinks,Spices_and_Sweets,858
de honing,honey,Food & Drinks,Spices_and_Sweets,859
het ijs,ice cream,Food & Drinks,Spices_and_Sweets,860
de lolly,lollipop,Food & Drinks,Spices_and_Sweets,861
de peper,pepper,Food & Drinks,Spices_and_Sweets,862
het zout,salt,Food & Drinks,Spices_and_Sweets,863
de vanille,vanilla,Food & Drinks,Spices_and_Sweets,864
de blender,blender,Food & Drinks,Cooking,950
het blik,can,Food & Drinks,Cooking,951
het kookboek,cookbook,Food & Drinks,Cooking,952
de kurkentrekker,corkscrew,Food & Drinks,Cooking,953
de rasp,grater,Food & Drinks,Cooking,954
de fruitpers,juicer,Food & Drinks,Cooking,955
de soeplepel,ladle,Food & Drinks,Cooking,956
de mixer,mixer,Food & Drinks,Cooking,957
de mengkom,mixing bowl,Food & Drinks,Cooking,958
de notenkraker,nutcracker,Food & Drinks,Cooking,959
de pepermolen,pepper mill,Food & Drinks,Cooking,960
de spons,sponge,Food & Drinks,Cooking,961
het vergiet,strainer,Food & Drinks,Cooking,962
de thermometer,thermometer,Food & Drinks,Cooking,963
de kookwekker,timer,Food & Drinks,Cooking,964
het broodrooster,toaster,Food & Drinks,Cooking,965
de garde,whisk,Food & Drinks,Cooking,966
het stokbrood,baguette,Food & Drinks,Pastries,1494
het broodje,bun,Food & Drinks,Pastries,1496
het snoep,candy,Food & Drinks,Pastries,1497
de crackers,crackers,Food & Drinks,Pastries,1499
de croissant,croissant,Food & Drinks,Pastries,1500
de pindakaas,peanut butter,Food & Drinks,Pastries,1502
de taart,pie,Food & Drinks,Pastries,1504
de pizza,pizza,Food & Drinks,Pastries,1505
de pretzel,pretzel,Food & Drinks,Pastries,1506
de scone,scone,Food & Drinks,Pastries,1509
de barista,barista,Food & Drinks,Tea_and_Coffee,1852
de bereidingstijd,brew time,Food & Drinks,Tea_and_Coffee,1853
