o café,coffee,Food & Drinks,Drinks,25
a coca cola,coke,Food & Drinks,Drinks,26
o chocolate quente,hot chocolate,Food & Drinks,Drinks,27
a bebida,drink,Food & Drinks,Drinks,28
o leite,milk,Food & Drinks,Drinks,29
o suco de laranja,orange juice,Food & Drinks,Drinks,31
o refrigerante,soda,Food & Drinks,Drinks,32
o chá,tea,Food & Drinks,Drinks,33
a água,water,Food & Drinks,Drinks,34
a água de coco,coconut water,Food & Drinks,Drinks,1854
o pão,bread,Food & Drinks,Food,121
o café da manhã,breakfast,Food & Drinks,Food,122
as frutas,fruits,Food & Drinks,Food,123
o queijo,cheese,Food & Drinks,Food,124
o ovo,egg,Food & Drinks,Food,125
o peixe,fish,Food & Drinks,Food,126
a sopa,soup,Food & Drinks,Food,128
a carne,meat,Food & Drinks,Food,132
o açúcar,sugar,Food & Drinks,Food,134
a salada,salad,Food & Drinks,Food,135
os laticínios,dairy,Food & Drinks,Food,2879
o almoço,lunch,Food & Drinks,Food,2880
o jantar,dinner,Food & Drinks,Food,2881
a comida pronta,takeout,Food & Drinks,Food,2892
a ameixa,plum,Food & Drinks,Fruits,678
o kiwi,kiwi,Food & Drinks,Fruits,679
o melão,honeydew melon,Food & Drinks,Fruits,681
o pêssego,peach,Food & Drinks,Fruits,682
a cereja,cherry,Food & Drinks,Fruits,683
a maçã,apple,Food & Drinks,Fruits,685
a uva,grape,Food & Drinks,Fruits,690
a melancia,watermelon,Food & Drinks,Fruits,691
a pera,pear,Food & Drinks,Fruits,692
a banana,banana,Food & Drinks,Fruits,694
o melão-cantalupo,cantaloupe,Food & Drinks,Fruits,3303
o cogumelo,mushroom,Food & Drinks,Vegetables,129
o brócolis,broccoli,Food & Drinks,Vegetables,697
o repolho,cabbage,Food & Drinks,Vegetables,698
a couve-flor,cauliflower,Food & Drinks,Vegetables,700
o milho,corn,Food & Drinks,Vegetables,701
o pepino,cucumber,Food & Drinks,Vegetables,702
a alface,lettuce,Food & Drinks,Vegetables,704
a salsinha,parsley,Food & Drinks,Vegetables,706
o rabanete,radish,Food & Drinks,Vegetables,709
os aspargos,asparagus,Food & Drinks,Vegetables,3186
a ervilha,pea,Food & Drinks,Vegetables,3187
a couve-de-bruxelas,brussels sprout,Food & Drinks,Vegetables,3188
a conta,bill,Food & Drinks,Restaurant,730
a garrafa,bottle,Food & Drinks,Restaurant,731
os condimentos,condiments,Food & Drinks,Restaurant,733
a sobremesa,dessert,Food & Drinks,Restaurant,734
o menu,menu,Food & Drinks,Restaurant,738
o guardanapo,napkin,Food & Drinks,Restaurant,739
a comida de rua,street food,Food & Drinks,Restaurant,740
a toalha de mesa,tablecloth,Food & Drinks,Restaurant,741
a gorjeta,tip,Food & Drinks,Restaurant,742
o palito de dente,toothpick,Food & Drinks,Restaurant,743
a bandeja,tray,Food & Drinks,Restaurant,744
o bacon,bacon,Food & Drinks,More_Foods,764
a manteiga,butter,Food & Drinks,More_Foods,765
o presunto,ham,Food & Drinks,More_Foods,768
o hambúrguer,hamburger,Food & Drinks,More_Foods,769
o cachorro-quente,hotdog,Food & Drinks,More_Foods,771
o salmão,salmon,Food & Drinks,More_Foods,776
a linguiça,sausage,Food & Drinks,More_Foods,777
o iogurte,yogurt,Food & Drinks,More_Foods,779
o manjericão,basil,Food & Drinks,Spices_and_Sweets,848
o bolo,cake,Food & Drinks,Spices_and_Sweets,850
a pimenta,chili,Food & Drinks,Spices_and_Sweets,851
o chocolate,chocolate,Food & Drinks,Spices_and_Sweets,852
a canela,cinnamon,Food & Drinks,Spices_and_Sweets,853
o cookie,cookie,Food & Drinks,Spices_and_Sweets,854
o gengibre,ginger,Food & Drinks,Spices_and_Sweets,855
o bolinho,muffin,Food & Drinks,Spices_and_Sweets,856
a rosquinha,donut,Food & Drinks,Spices_and_Sweets,857
a farinha,flour,Food & Drinks,Spices_and_Sweets,858
o mel,honey,Food & Drinks,Spices_and_Sweets,859
o sorvete,ice cream,Food & Drinks,Spices_and_Sweets,860
o pirulito,lollipop,Food & Drinks,Spices_and_Sweets,861
a pimenta,pepper,Food & Drinks,Spices_and_Sweets,862
o sal,salt,Food & Drinks,Spices_and_Sweets,863
a baunilha,vanilla,Food & Drinks,Spices_and_Sweets,864
o liquidificador,blender,Food & Drinks,Cooking,950
a lata,can,Food & Drinks,Cooking,951
o livro de receitas,cookbook,Food & Drinks,Cooking,952
o saca-rolhas,corkscrew,Food & Drinks,Cooking,953
o ralador,grater,Food & Drinks,Cooking,954
o espremedor,juicer,Food & Drinks,Cooking,955
a concha,ladle,Food & Drinks,Cooking,956
a batedeira,mixer,Food & Drinks,Cooking,957
a tigela,mixing bowl,Food & Drinks,Cooking,958
o quebra-nozes,nutcracker,Food & Drinks,Cooking,959
o moedor de pimenta,pepper mill,Food & Drinks,Cooking,960
a esponja,sponge,Food & Drinks,Cooking,961
a peneira,strainer,Food & Drinks,Cooking,962
o termômetro,thermometer,Food & Drinks,Cooking,963
o cronômetro,timer,Food & Drinks,Cooking,964
a torradeira,toaster,Food & Drinks,Cooking,965
o batedor,whisk,Food & Drinks,Cooking,966
a baguete,baguette,Food & Drinks,Pastries,1494
o pão,bun,Food & Drinks,Pastries,1496
a bala,candy,Food & Drinks,Pastries,1497
os biscoitos,crackers,Food & Drinks,Pastries,1499
o croissant,croissant,Food & Drinks,Pastries,1500
a pasta de amendoim,peanut butter,Food & Drinks,Pastries,1502
a torta,pie,Food & Drinks,Pastries,1504
a pizza,pizza,Food & Drinks,Pastries,1505
o pretzel,pretzel,Food & Drinks,Pastries,1506
o scone,scone,Food & Drinks,Pastries,1509
o barista,barista,Food & Drinks,Tea_and_Coffee,1852
o tempo de infusão,brew time,Food & Drinks,Tea_and_Coffee,1853
o grão de café,coffee bean,Food & Drinks,Tea_and_Coffee,1855
o moedor de café,coffee grinder,Food & Drinks,Tea_and_Coffee,1856
o espresso,espresso,Food & Drinks,Tea_and_Coffee,1857
a cafeteira,espresso machine,Food & Drinks,Tea_and_Coffee,1858
o filtro de café,filter coffee,Food & Drinks,Tea_and_Coffee,1859
a prensa francesa,French press,Food & Drinks,Tea_and_Coffee,1860
o latte,latte,Food & Drinks,Tea_and_Coffee,1863
o saquinho de chá,tea bag,Food & Drinks,Tea_and_Coffee,1865
o filtro de chá,tea egg,Food & Drinks,Tea_and_Coffee,1866
a folha de chá,tea leaf,Food & Drinks,Tea_and_Coffee,1867
a hortelã-pimenta,peppermint,Food & Drinks,Herbs,3149
a erva-cidreira,lemongrass,Food & Drinks,Herbs,3150
o alecrim,rosemary,Food & Drinks,Herbs,3152
a sálvia,sage,Food & Drinks,Herbs,3153
a erva-doce,fennel,Food & Drinks,Herbs,3155
o ginseng,ginseng,Food & Drinks,Herbs,3157
a hortelã-verde,spearmint,Food & Drinks,Herbs,3159
a manjerona,marjoram,Food & Drinks,Herbs,3160
o açafrão,saffron,Food & Drinks,Herbs,3161
a cebolinha,chives,Food & Drinks,Herbs,3162
o tomilho,thyme,Food & Drinks,Herbs,3163
a hortelã,mint,Food & Drinks,Herbs,3164
o abacate,avocado,Food & Drinks,More_Vegetables,695
o alho-poró,leek,Food & Drinks,More_Vegetables,3185
o repolho chinês,bok choy,Food & Drinks,More_Vegetables,3189
a alcachofra,artichoke,Food & Drinks,More_Vegetables,3190
a berinjela,eggplant,Food & Drinks,More_Vegetables,3191
os brotos,sprouts,Food & Drinks,More_Vegetables,3194
a couve,kale,Food & Drinks,More_Vegetables,3195
a beterraba,beetroot,Food & Drinks,More_Vegetables,3196
a soja,soybeans,Food & Drinks,More_Vegetables,3198
a azeitona,olive,Food & Drinks,Exotic_Fruits,686
o maracujá,passion fruit,Food & Drinks,Exotic_Fruits,3293
a romã,pomegranate,Food & Drinks,Exotic_Fruits,3294
o figo,fig,Food & Drinks,Exotic_Fruits,3295
a manga,mango,Food & Drinks,Exotic_Fruits,3296
o durião,durian,Food & Drinks,Exotic_Fruits,3297
o mamão,papaya,Food & Drinks,Exotic_Fruits,3298
o ruibarbo,rhubarb,Food & Drinks,Exotic_Fruits,3301
a tâmara,date,Food & Drinks,Exotic_Fruits,3302
a pitaia,dragon fruit,Food & Drinks,Exotic_Fruits,3305
a fruta-cobra,snake fruit,Food & Drinks,Exotic_Fruits,3306
o espremedor de frutas,fruit press,Food & Drinks,Even_More_Cooking,3563
a espátula,spatula,Food & Drinks,Even_More_Cooking,3564
o ralador,cheese grater,Food & Drinks,Even_More_Cooking,3565
o abridor de vinho,wine opener,Food & Drinks,Even_More_Cooking,3566
o pegador,tongs,Food & Drinks,Even_More_Cooking,3568
o espremedor de alho,garlic press,Food & Drinks,Even_More_Cooking,3569
os medidores,measuring cups,Food & Drinks,Even_More_Cooking,3570
a balança de cozinha,kitchen scale,Food & Drinks,Even_More_Cooking,3571
as colheres de medida,measuring spoons,Food & Drinks,Even_More_Cooking,3572
a wok,wok,Food & Drinks,Even_More_Cooking,3574
a mostarda,mustard,Food & Drinks,Even_More_Cooking,3575
o ketchup,ketchup,Food & Drinks,Even_More_Cooking,3576
o molho de pimenta,hot sauce,Food & Drinks,Even_More_Cooking,3577
o shoyu,soy sauce,Food & Drinks,Even_More_Cooking,3578
eu ralo,I grate,Food & Drinks,Even_More_Cooking,3579
eu espalho,I spread,Food & Drinks,Even_More_Cooking,3580
o lanche,snack,Food & Drinks,Snacks,2882
o bagel,bagel,Food & Drinks,Snacks,3689
o saco de batata,bag of chips,Food & Drinks,Snacks,3690
a pipoca,popcorn,Food & Drinks,Snacks,3691
o picles,pickle,Food & Drinks,Snacks,3692
os nachos,nachos,Food & Drinks,Snacks,3693
o milkshake,milkshake,Food & Drinks,Snacks,3694
a carne-seca,beef jerky,Food & Drinks,Snacks,3695
as frutas secas,dried fruit,Food & Drinks,Snacks,3696
a gelatina,jelly,Food & Drinks,Snacks,3698
as batatas e o molho,chips and dip,Food & Drinks,Snacks,3699
a goma de mascar,chewing gum,Food & Drinks,Snacks,3703
o pudim,pudding,Food & Drinks,Snacks,3704
a panqueca,pancake,Food & Drinks,Breakfast_Foods,3941
o cereal,cereal,Food & Drinks,Breakfast_Foods,3942
o waffle,waffle,Food & Drinks,Breakfast_Foods,3943
a omelete,omelet,Food & Drinks,Breakfast_Foods,3944
a barrinha de cereais,granola bar,Food & Drinks,Breakfast_Foods,3945
a torrada,toast,Food & Drinks,Breakfast_Foods,3946
a quiche,quiche,Food & Drinks,Breakfast_Foods,3948
o brioche,brioche,Food & Drinks,Breakfast_Foods,3949
a comida,food,Food & Drinks,Foodie,6684
a imagem,picture,Food & Drinks,Foodie,6685
a guia,guide,Food & Drinks,Foodie,6686
o shake,shake,Food & Drinks,Foodie,6687
a alça,handle,Food & Drinks,Foodie,6688
o tour,tour,Food & Drinks,Foodie,6690
a refeição,meal,Food & Drinks,Foodie,6692
a mala,bag,Food & Drinks,Foodie,6693
o pacote,package,Food & Drinks,Foodie,6694
o vinho,wine,Food & Drinks,Foodie,6695
a xícara,cup,Food & Drinks,Foodie,6696
o preço,price,Food & Drinks,Foodie,6698
eu entrego,I deliver,Food & Drinks,Foodie,6689
eu enrolo,I roll,Food & Drinks,Foodie,6691
sim,yes,Study with Amber,Essentials,1
não,no,Study with Amber,Essentials,2
ok,ok,Study with Amber,Essentials,3
oi,hi,Study with Amber,Essentials,4
obrigado,thank you,Study with Amber,Essentials,5
tchau,bye,Study with Amber,Essentials,6
por favor,please,Study with Amber,Essentials,7
eu,I,Study with Amber,Essentials,9
e,and,Study with Amber,Essentials,16
ou,or,Study with Amber,Essentials,17
este,this,Study with Amber,Essentials,18
o café,coffee,Study with Amber,Drinks,25
a coca cola,coke,Study with Amber,Drinks,26
o chocolate quente,hot chocolate,Study with Amber,Drinks,27
a bebida,drink,Study with Amber,Drinks,28
o leite,milk,Study with Amber,Drinks,29
o suco de laranja,orange juice,Study with Amber,Drinks,31
o refrigerante,soda,Study with Amber,Drinks,32
o chá,tea,Study with Amber,Drinks,33
a água,water,Study with Amber,Drinks,34
a água de coco,coconut water,Study with Amber,Drinks,1854
zero,zero,Study with Amber,Numbers,41
um,one,Study with Amber,Numbers,42
dois,two,Study with Amber,Numbers,43
três,three,Study with Amber,Numbers,44
quatro,four,Study with Amber,Numbers,45
cinco,five,Study with Amber,Numbers,46
seis,six,Study with Amber,Numbers,47
sete,seven,Study with Amber,Numbers,48
oito,eight,Study with Amber,Numbers,49
nove,nine,Study with Amber,Numbers,50
dez,ten,Study with Amber,Numbers,51
onze,eleven,Study with Amber,Numbers,52
doze,twelve,Study with Amber,Numbers,53
vinte,twenty,Study with Amber,Numbers,54
cem,hundred,Study with Amber,Numbers,55
eu acho que,I think,Study with Amber,Numbers,56
eu conto,I count,Study with Amber,Numbers,58
o pão,bread,Study with Amber,Food,121
o café da manhã,breakfast,Study with Amber,Food,122
as frutas,fruits,Study with Amber,Food,123
o queijo,cheese,Study with Amber,Food,124
o ovo,egg,Study with Amber,Food,125
o peixe,fish,Study with Amber,Food,126
a sopa,soup,Study with Amber,Food,128
a carne,meat,Study with Amber,Food,132
o açúcar,sugar,Study with Amber,Food,134
a salada,salad,Study with Amber,Food,135
os laticínios,dairy,Study with Amber,Food,2879
o almoço,lunch,Study with Amber,Food,2880
o jantar,dinner,Study with Amber,Food,2881
a comida pronta,takeout,Study with Amber,Food,2892
as cartas,cards,Study with Amber,Fun,401
o cinema,cinema,Study with Amber,Fun,403
o show,concert,Study with Amber,Fun,404
a exposição,exhibition,Study with Amber,Fun,405
o jornal,newspaper,Study with Amber,Fun,406
a festa,party,Study with Amber,Fun,407
a partida,match,Study with Amber,Fun,409
o bate-papo,chat,Study with Amber,Fun,410
os jogos de videogame,video games,Study with Amber,Fun,411
o restaurante,restaurant,Study with Amber,Fun,412
o turismo,sightseeing,Study with Amber,Fun,414
a dança,dance,Study with Amber,Fun,415
o corpo,body,Study with Amber,Body,421
a cabeça,head,Study with Amber,Body,422
o cabelo,hair,Study with Amber,Body,423
o rosto,face,Study with Amber,Body,424
as orelhas,ears,Study with Amber,Body,425
os olhos,eyes,Study with Amber,Body,426
o nariz,nose,Study with Amber,Body,427
a boca,mouth,Study with Amber,Body,428
