кофе,coffee,Food & Drinks,Drinks,25
кола,coke,Food & Drinks,Drinks,26
горячий шоколад,hot chocolate,Food & Drinks,Drinks,27
напиток,drink,Food & Drinks,Drinks,28
молоко,milk,Food & Drinks,Drinks,29
апельсиновый сок,orange juice,Food & Drinks,Drinks,31
газировка,soda,Food & Drinks,Drinks,32
чай,tea,Food & Drinks,Drinks,33
вода,water,Food & Drinks,Drinks,34
кокосовая вода,coconut water,Food & Drinks,Drinks,1854
хлеб,bread,Food & Drinks,Food,121
завтрак,breakfast,Food & Drinks,Food,122
фрукты,fruits,Food & Drinks,Food,123
сыр,cheese,Food & Drinks,Food,124
яйцо,egg,Food & Drinks,Food,125
рыба,fish,Food & Drinks,Food,126
суп,soup,Food & Drinks,Food,128
мясо,meat,Food & Drinks,Food,132
сахар,sugar,Food & Drinks,Food,134
салат,salad,Food & Drinks,Food,135
молочные продукты,dairy,Food & Drinks,Food,2879
обед,lunch,Food & Drinks,Food,2880
ужин,dinner,Food & Drinks,Food,2881
еда на вынос,takeout,Food & Drinks,Food,2892
слива,plum,Food & Drinks,Fruits,678
киви,kiwi,Food & Drinks,Fruits,679
дыня,honeydew melon,Food & Drinks,Fruits,681
персик,peach,Food & Drinks,Fruits,682
вишня,cherry,Food & Drinks,Fruits,683
яблоко,apple,Food & Drinks,Fruits,685
виноград,grape,Food & Drinks,Fruits,690
арбуз,watermelon,Food & Drinks,Fruits,691
груша,pear,Food & Drinks,Fruits,692
банан,banana,Food & Drinks,Fruits,694
мускусная дыня,cantaloupe,Food & Drinks,Fruits,3303
гриб,mushroom,Food & Drinks,Vegetables,129
брокколи,broccoli,Food & Drinks,Vegetables,697
капуста,cabbage,Food & Drinks,Vegetables,698
цветная капуста,cauliflower,Food & Drinks,Vegetables,700
кукуруза,corn,Food & Drinks,Vegetables,701
огурец,cucumber,Food & Drinks,Vegetables,702
салат,lettuce,Food & Drinks,Vegetables,704
петрушка,parsley,Food & Drinks,Vegetables,706
редис,radish,Food & Drinks,Vegetables,709
спаржа,asparagus,Food & Drinks,Vegetables,3186
горох,pea,Food & Drinks,Vegetables,3187
брюссельская капуста,brussels sprout,Food & Drinks,Vegetables,3188
счёт,bill,Food & Drinks,Restaurant,730
бутылка,bottle,Food & Drinks,Restaurant,731
