kape,coffee,Food & Drinks,Drinks,25
coke,coke,Food & Drinks,Drinks,26
mainit na tsokolate,hot chocolate,Food & Drinks,Drinks,27
inumin,drink,Food & Drinks,Drinks,28
gatas,milk,Food & Drinks,Drinks,29
orange juice,orange juice,Food & Drinks,Drinks,31
soda,soda,Food & Drinks,Drinks,32
tsaa,tea,Food & Drinks,Drinks,33
tubig,water,Food & Drinks,Drinks,34
tubig ng niyog,coconut water,Food & Drinks,Drinks,1854
tinapay,bread,Food & Drinks,Food,121
almusal,breakfast,Food & Drinks,Food,122
mga prutas,fruits,Food & Drinks,Food,123
keso,cheese,Food & Drinks,Food,124
itlog,egg,Food & Drinks,Food,125
isda,fish,Food & Drinks,Food,126
sabaw,soup,Food & Drinks,Food,128
karne,meat,Food & Drinks,Food,132
asukal,sugar,Food & Drinks,Food,134
salad,salad,Food & Drinks,Food,135
pagkaing gawa sa gatas,dairy,Food & Drinks,Food,2879
tanghalian,lunch,Food & Drinks,Food,2880
hapunan,dinner,Food & Drinks,Food,2881
takeout,takeout,Food & Drinks,Food,2892
plum,plum,Food & Drinks,Fruits,678
kiwi,kiwi,Food & Drinks,Fruits,679
melon,honeydew melon,Food & Drinks,Fruits,681
peach,peach,Food & Drinks,Fruits,682
seresa,cherry,Food & Drinks,Fruits,683
mansanas,apple,Food & Drinks,Fruits,685
ubas,grape,Food & Drinks,Fruits,690
pakwan,watermelon,Food & Drinks,Fruits,691
pear,pear,Food & Drinks,Fruits,692
saging,banana,Food & Drinks,Fruits,694
melon,cantaloupe,Food & Drinks,Fruits,3303
kabute,mushroom,Food & Drinks,Vegetables,129
broccoli,broccoli,Food & Drinks,Vegetables,697
repolyo,cabbage,Food & Drinks,Vegetables,698
cauliflower,cauliflower,Food & Drinks,Vegetables,700
mais,corn,Food & Drinks,Vegetables,701
pipino,cucumber,Food & Drinks,Vegetables,702
letsugas,lettuce,Food & Drinks,Vegetables,704
parsley,parsley,Food & Drinks,Vegetables,706
labanos,radish,Food & Drinks,Vegetables,709
asparagus,asparagus,Food & Drinks,Vegetables,3186
patani,pea,Food & Drinks,Vegetables,3187
brussels sprout,brussels sprout,Food & Drinks,Vegetables,3188
bil,bill,Food & Drinks,Restaurant,730
bote,bottle,Food & Drinks,Restaurant,731
condiments,condiments,Food & Drinks,Restaurant,733
panghimagas,dessert,Food & Drinks,Restaurant,734
menu,menu,Food & Drinks,Restaurant,738
napkin,napkin,Food & Drinks,Restaurant,739
pagkain sa kalye,street food,Food & Drinks,Restaurant,740
mantel,tablecloth,Food & Drinks,Restaurant,741
pabuya,tip,Food & Drinks,Restaurant,742
toothpick,toothpick,Food & Drinks,Restaurant,743
tray,tray,Food & Drinks,Restaurant,744
bacon,bacon,Food & Drinks,More_Foods,764
mantikilya,butter,Food & Drinks,More_Foods,765
hamon,ham,Food & Drinks,More_Foods,768
hamburger,hamburger,Food & Drinks,More_Foods,769
hotdog,hotdog,Food & Drinks,More_Foods,771
salmon,salmon,Food & Drinks,More_Foods,776
chorizo,sausage,Food & Drinks,More_Foods,777
yogart,yogurt,Food & Drinks,More_Foods,779
basil,basil,Food & Drinks,Spices_and_Sweets,848
cake,cake,Food & Drinks,Spices_and_Sweets,850
sili,chili,Food & Drinks,Spices_and_Sweets,851
tsokolate,chocolate,Food & Drinks,Spices_and_Sweets,852
cinnamon,cinnamon,Food & Drinks,Spices_and_Sweets,853
cookie,cookie,Food & Drinks,Spices_and_Sweets,854
luya,ginger,Food & Drinks,Spices_and_Sweets,855
muffin,muffin,Food & Drinks,Spices_and_Sweets,856
donut,donut,Food & Drinks,Spices_and_Sweets,857
harina,flour,Food & Drinks,Spices_and_Sweets,858
honey,honey,Food & Drinks,Spices_and_Sweets,859
sorbetes,ice cream,Food & Drinks,Spices_and_Sweets,860
lollypop,lollipop,Food & Drinks,Spices_and_Sweets,861
paminta,pepper,Food & Drinks,Spices_and_Sweets,862
asin,salt,Food & Drinks,Spices_and_Sweets,863
banilya,vanilla,Food & Drinks,Spices_and_Sweets,864
blender,blender,Food & Drinks,Cooking,950
lata,can,Food & Drinks,Cooking,951
cookbook,cookbook,Food & Drinks,Cooking,952
corkscrew,corkscrew,Food & Drinks,Cooking,953
kudkuran,grater,Food & Drinks,Cooking,954
juicer,juicer,Food & Drinks,Cooking,955
sandok,ladle,Food & Drinks,Cooking,956
mixer,mixer,Food & Drinks,Cooking,957
mangkok,mixing bowl,Food & Drinks,Cooking,958
nutcracker,nutcracker,Food & Drinks,Cooking,959
pandurog ng paminta,pepper mill,Food & Drinks,Cooking,960
spongha,sponge,Food & Drinks,Cooking,961
salaan,strainer,Food & Drinks,Cooking,962
termometro,thermometer,Food & Drinks,Cooking,963
timer,timer,Food & Drinks,Cooking,964
pangtosta,toaster,Food & Drinks,Cooking,965
whisk,whisk,Food & Drinks,Cooking,966
baguette,baguette,Food & Drinks,Pastries,1494
tinapay,bun,Food & Drinks,Pastries,1496
kendi,candy,Food & Drinks,Pastries,1497
crackers,crackers,Food & Drinks,Pastries,1499
croissant,croissant,Food & Drinks,Pastries,1500
peanut butter,peanut butter,Food & Drinks,Pastries,1502
pie,pie,Food & Drinks,Pastries,1504
pizza,pizza,Food & Drinks,Pastries,1505
pretzel,pretzel,Food & Drinks,Pastries,1506
